"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Kinston, NC","28820",2021,59,57,2,0,0,0,0,77,47,28,0,0,31,0,0,28
"Knoxville, TN","28940",2021,120,86,32,2,0,0,0,150,64,43,0,0,62,0,58,0
"Kokomo, IN","29020",2021,90,73,17,0,0,0,0,78,54,39,0,0,51,0,39,0
"Lafayette, LA","29180",2021,90,76,14,0,0,0,0,80,52,39,0,0,55,0,35,0
"Lafayette-West Lafayette, IN","29200",2021,120,98,22,0,0,0,0,82,58,40,0,0,70,0,50,0
"Lake Charles, LA","29340",2021,90,71,19,0,0,0,0,74,54,42,0,0,37,1,52,0
"Lake Havasu City-Kingman, AZ","29420",2021,90,90,0,0,0,0,0,46,22,12,0,0,0,0,0,90
"Lancaster, PA","29540",2021,86,85,1,0,0,0,0,61,44,35,0,0,86,0,0,0
"Laramie, WY","29660",2021,59,59,0,0,0,0,0,47,45,43,0,0,59,0,0,0
"Las Cruces, NM","29740",2021,90,56,30,1,1,1,1,438,74,46,0,1,45,0,7,37
"Las Vegas-Henderson-Paradise, NV","29820",2021,91,57,33,1,0,0,0,112,74,48,1,3,46,0,38,3
"Lawton, OK","30020",2021,118,92,26,0,0,0,0,71,56,43,0,0,77,0,41,0
"Lebanon, PA","30140",2021,66,66,0,0,0,0,0,49,42,35,0,0,66,0,0,0
"Lewiston, ID-WA","30300",2021,90,73,17,0,0,0,0,94,65,15,0,0,0,0,90,0
"Lewiston-Auburn, ME","30340",2021,110,105,5,0,0,0,0,54,46,34,0,0,59,0,51,0
"Lima, OH","30620",2021,59,46,13,0,0,0,0,68,59,36,0,0,0,0,59,0
"Lincoln, NE","30700",2021,20,15,5,0,0,0,0,65,56,27,0,0,0,2,18,0
"Little Rock-North Little Rock-Conway, AR","30780",2021,91,67,24,0,0,0,0,100,56,40,1,6,23,0,61,0
"Logan, UT-ID","30860",2021,90,68,21,1,0,0,0,105,74,40,0,0,57,0,30,3
"Longview, WA","31020",2021,31,28,3,0,0,0,0,59,39,23,0,0,0,0,31,0
"Louisville/Jefferson County, KY-IN","31140",2021,90,65,25,0,0,0,0,88,67,42,0,0,36,0,54,0
"Lubbock, TX","31180",2021,18,17,1,0,0,0,0,66,33,13,0,0,0,0,18,0
"Macon, GA","31420",2021,59,51,8,0,0,0,0,78,62,29,0,0,0,0,59,0
"Madison, WI","31540",2021,5,4,1,0,0,0,0,55,55,43,0,0,0,0,5,0
"Marietta, OH","31930",2021,59,59,0,0,0,0,0,29,24,4,0,0,0,59,0,0
"Mason City, IA","32380",2021,30,30,0,0,0,0,0,31,24,16,0,0,0,0,0,30
"McAlester, OK","32540",2021,120,78,41,1,0,0,0,117,64,45,0,0,59,0,61,0
"Memphis, TN-MS-AR","32820",2021,90,72,18,0,0,0,0,83,60,37,0,3,45,0,42,0
"Merced, CA","32900",2021,2,2,0,0,0,0,0,18,18,18,0,0,0,0,0,2
"Meridian, MS","32940",2021,31,31,0,0,0,0,0,49,44,33,0,0,31,0,0,0
"Michigan City-La Porte, IN","33140",2021,90,80,10,0,0,0,0,72,51,35,0,0,77,0,13,0
"Milwaukee-Waukesha-West Allis, WI","33340",2021,10,7,3,0,0,0,0,66,66,47,0,0,0,0,10,0
"Minot, ND","33500",2021,59,54,5,0,0,0,0,68,48,30,0,1,40,0,18,0
"Missoula, MT","33540",2021,31,6,23,2,0,0,0,104,91,65,0,0,2,0,29,0
"Modesto, CA","33700",2021,2,2,0,0,0,0,0,22,22,22,0,0,0,0,0,2
"Monroe, LA","33740",2021,72,72,0,0,0,0,0,50,44,31,0,0,72,0,0,0
"Monroe, MI","33780",2021,15,14,1,0,0,0,0,51,31,16,0,0,0,0,0,15
"Morehead City, NC","33980",2021,54,54,0,0,0,0,0,49,41,33,0,0,54,0,0,0
"Morgantown, WV","34060",2021,89,88,1,0,0,0,0,67,44,3,0,0,30,59,0,0
"Moses Lake, WA","34180",2021,31,30,1,0,0,0,0,51,35,24,0,0,0,0,31,0
"Mount Vernon, IL","34500",2021,90,75,15,0,0,0,0,68,55,37,0,0,28,0,62,0
"Mount Vernon-Anacortes, WA","34580",2021,28,28,0,0,0,0,0,48,46,20,0,0,0,0,28,0
"Muncie, IN","34620",2021,117,105,12,0,0,0,0,84,51,37,0,0,101,0,16,0
"Muscatine, IA","34700",2021,120,82,38,0,0,0,0,88,64,41,0,0,0,0,120,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2021,88,83,5,0,0,0,0,57,45,23,0,0,41,47,0,0
"New Castle, IN","35220",2021,28,23,5,0,0,0,0,76,60,33,0,0,0,0,28,0
"New Castle, PA","35260",2021,79,79,0,0,0,0,0,41,32,26,0,0,79,0,0,0
"New Orleans-Metairie, LA","35380",2021,91,80,10,1,0,0,0,106,52,40,1,0,42,12,35,1
"New York-Newark-Jersey City, NY-NJ-PA","35620",2021,91,71,20,0,0,0,0,83,59,43,1,11,33,1,45,0
"Nogales, AZ","35700",2021,90,47,42,0,1,0,0,166,76,47,0,0,0,0,63,27
"Odessa, TX","36220",2021,30,28,2,0,0,0,0,57,45,25,0,0,0,0,30,0
"Ogden-Clearfield, UT","36260",2021,91,71,20,0,0,0,0,96,63,41,1,6,60,0,21,3
"Ogdensburg-Massena, NY","36300",2021,90,68,16,6,0,0,0,116,90,17,0,0,0,90,0,0
"Oklahoma City, OK","36420",2021,121,55,64,2,0,0,0,106,67,51,1,2,39,0,78,1
"Olympia-Tumwater, WA","36500",2021,30,28,2,0,0,0,0,58,48,19,0,0,0,0,30,0
"Omaha-Council Bluffs, NE-IA","36540",2021,120,91,29,0,0,0,0,86,65,40,0,0,58,6,52,4
"Othello, WA","36830",2021,30,30,0,0,0,0,0,32,29,14,0,0,0,0,30,0
"Ottawa-Peru, IL","36860",2021,84,84,0,0,0,0,0,7,3,1,0,0,0,84,0,0
"Oxford, NC","37080",2021,31,30,1,0,0,0,0,67,45,38,0,0,31,0,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2021,90,77,12,1,0,0,0,117,54,42,0,0,76,0,10,4
"Parkersburg-Vienna, WV","37620",2021,90,90,0,0,0,0,0,49,40,4,0,0,31,59,0,0
"Payson, AZ","37740",2021,90,76,14,0,0,0,0,80,58,44,0,0,77,8,0,5
"Peoria, IL","37900",2021,90,67,23,0,0,0,0,72,58,38,0,0,15,4,71,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2021,90,74,16,0,0,0,0,80,60,39,0,0,57,0,33,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2021,120,6,22,21,33,38,0,272,217,166,0,1,95,0,8,16
"Pittsburgh, PA","38300",2021,91,54,36,1,0,0,0,123,72,44,1,0,29,2,58,1
"Pittsfield, MA","38340",2021,47,40,7,0,0,0,0,77,54,31,0,0,15,0,32,0
"Point Pleasant, WV-OH","38580",2021,59,58,1,0,0,0,0,87,17,3,0,0,0,59,0,0
"Ponca City, OK","38620",2021,120,63,51,5,1,0,0,163,78,48,0,0,0,11,109,0
"Port Angeles, WA","38820",2021,32,28,4,0,0,0,0,57,51,40,1,0,7,0,24,0
"Portland-South Portland, ME","38860",2021,121,114,7,0,0,0,0,71,46,39,1,5,108,0,7,0
"Portland-Vancouver-Hillsboro, OR-WA","38900",2021,31,25,6,0,0,0,0,72,59,33,0,0,0,0,31,0
"Portsmouth, OH","39020",2021,59,53,6,0,0,0,0,57,51,12,0,0,0,5,20,34
"Prescott, AZ","39140",2021,57,50,7,0,0,0,0,64,51,44,0,0,57,0,0,0
"Price, UT","39220",2021,90,90,0,0,0,0,0,50,44,40,0,0,90,0,0,0
"Providence-Warwick, RI-MA","39300",2021,91,75,16,0,0,0,0,78,55,41,1,3,56,0,31,0
"Provo-Orem, UT","39340",2021,91,79,12,0,0,0,0,67,54,40,1,6,67,0,16,1
"Pueblo, CO","39380",2021,25,25,0,0,0,0,0,49,40,16,0,0,0,0,20,5
"Pullman, WA","39420",2021,31,31,0,0,0,0,0,45,28,15,0,0,0,0,31,0
"Quincy, IL-MO","39500",2021,31,30,1,0,0,0,0,58,49,40,0,0,31,0,0,0
"Raleigh, NC","39580",2021,91,84,7,0,0,0,0,80,49,38,1,1,61,0,28,0
"Reading, PA","39740",2021,81,77,4,0,0,0,0,77,45,33,0,0,81,0,0,0
"Red Bluff, CA","39780",2021,2,2,0,0,0,0,0,4,4,4,0,0,0,0,0,2
"Redding, CA","39820",2021,59,57,2,0,0,0,0,54,45,39,0,0,59,0,0,0
"Richmond, VA","40060",2021,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,1
"Riverside-San Bernardino-Ontario, CA","40140",2021,90,63,24,1,2,0,0,196,68,44,0,0,68,0,3,19
"Roanoke Rapids, NC","40260",2021,90,90,0,0,0,0,0,50,30,12,0,32,0,0,58,0
"Rochester, NY","40380",2021,91,74,17,0,0,0,0,78,54,40,1,0,45,0,45,0
"Rock Springs, WY","40540",2021,90,83,7,0,0,0,0,83,40,10,0,0,0,0,0,90
"Rockford, IL","40420",2021,86,54,32,0,0,0,0,95,70,45,0,0,17,0,69,0
"Rockland, ME","40500",2021,56,52,4,0,0,0,0,80,48,41,0,0,56,0,0,0
"Rocky Mount, NC","40580",2021,90,86,4,0,0,0,0,84,45,26,0,0,31,0,59,0
"Rome, GA","40660",2021,59,56,3,0,0,0,0,73,46,22,0,0,0,0,59,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2021,38,21,17,0,0,0,0,92,80,49,1,0,6,0,25,6
"Salem, OH","41400",2021,59,59,0,0,0,0,0,28,8,0,0,0,0,49,0,10
"Salinas, CA","41500",2021,91,89,2,0,0,0,0,67,44,37,1,0,78,0,11,1
"Salt Lake City, UT","41620",2021,91,59,30,2,0,0,0,133,64,44,1,16,31,0,37,6
"San Jose-Sunnyvale-Santa Clara, CA","41940",2021,90,89,1,0,0,0,0,61,43,37,0,0,88,0,1,1
"Santa Cruz-Watsonville, CA","42100",2021,90,81,9,0,0,0,0,73,53,36,0,0,65,0,25,0
"Santa Maria-Santa Barbara, CA","42200",2021,32,29,3,0,0,0,0,53,49,39,1,0,16,0,14,1
"Savannah, GA","42340",2021,59,49,10,0,0,0,0,70,55,35,0,0,0,7,52,0
"Sayre, PA","42380",2021,66,64,2,0,0,0,0,54,44,38,0,0,66,0,0,0
"Scottsbluff, NE","42420",2021,116,113,3,0,0,0,0,58,38,15,0,0,0,0,116,0
"Scranton--Wilkes-Barre--Hazleton, PA","42540",2021,79,78,1,0,0,0,0,51,41,34,0,0,79,0,0,0
"Seattle-Tacoma-Bellevue, WA","42660",2021,32,13,18,1,0,0,0,108,78,56,1,2,4,0,25,0
"Sebastian-Vero Beach, FL","42680",2021,57,55,2,0,0,0,0,71,47,38,0,0,57,0,0,0
"Sevierville, TN","42940",2021,59,59,0,0,0,0,0,50,44,38,0,0,59,0,0,0
"Shelton, WA","43220",2021,31,29,2,0,0,0,0,55,42,25,0,0,0,0,31,0
"Show Low, AZ","43320",2021,90,90,0,0,0,0,0,45,43,35,0,0,59,0,0,31
"Shreveport-Bossier City, LA","43340",2021,90,83,7,0,0,0,0,64,50,38,0,0,54,0,32,4
"Sierra Vista-Douglas, AZ","43420",2021,90,77,12,1,0,0,0,104,54,41,0,0,48,0,0,42
"Sioux City, IA-NE-SD","43580",2021,30,21,9,0,0,0,0,79,72,37,0,0,0,0,30,0
"Somerset, PA","43740",2021,58,58,0,0,0,0,0,47,41,31,0,0,58,0,0,0
"South Bend-Mishawaka, IN-MI","43780",2021,90,61,29,0,0,0,0,99,64,43,0,1,43,0,46,0
"Spartanburg, SC","43900",2021,81,73,8,0,0,0,0,76,49,36,0,0,47,0,34,0
"Spokane-Spokane Valley, WA","44060",2021,31,9,22,0,0,0,0,80,68,57,0,0,0,0,28,3
"Springfield, IL","44100",2021,89,74,15,0,0,0,0,64,55,34,0,0,18,0,71,0
"Springfield, MA","44140",2021,39,31,8,0,0,0,0,88,67,36,0,0,14,0,23,2
"Springfield, MO","44180",2021,59,56,3,0,0,0,0,63,43,16,0,0,0,0,36,23
"Springfield, OH","44220",2021,68,45,23,0,0,0,0,84,66,44,0,0,0,0,68,0
"St. George, UT","41100",2021,90,87,3,0,0,0,0,52,45,41,0,0,88,0,2,0
"St. Joseph, MO-KS","41140",2021,59,48,11,0,0,0,0,87,61,32,0,0,0,0,53,6
"St. Louis, MO-IL","41180",2021,90,45,45,0,0,0,0,88,67,52,0,1,10,0,78,1
"St. Marys, PA","41260",2021,58,58,0,0,0,0,0,49,42,35,0,0,58,0,0,0
"State College, PA","44300",2021,78,78,0,0,0,0,0,50,44,34,0,0,78,0,0,0
"Steamboat Springs, CO","44460",2021,52,51,1,0,0,0,0,51,32,14,0,0,0,0,0,52
"Syracuse, NY","45060",2021,90,78,12,0,0,0,0,64,52,39,0,0,69,0,21,0
"Terre Haute, IN","45460",2021,90,76,14,0,0,0,0,74,60,38,0,0,49,0,41,0
"Toledo, OH","45780",2021,59,51,8,0,0,0,0,71,55,29,0,0,0,0,59,0
"Trenton, NJ","45940",2021,59,59,0,0,0,0,0,44,39,32,0,0,59,0,0,0
"Truckee-Grass Valley, CA","46020",2021,120,112,8,0,0,0,0,62,48,38,0,0,64,0,56,0
"Tucson, AZ","46060",2021,90,57,28,5,0,0,0,128,72,45,0,0,0,0,0,90
"Tulsa, OK","46140",2021,121,63,56,1,1,0,0,163,74,49,1,0,47,0,73,0
"Tupelo, MS","46180",2021,31,29,2,0,0,0,0,61,46,40,0,0,31,0,0,0
"Utica-Rome, NY","46540",2021,84,82,2,0,0,0,0,58,38,27,0,0,0,0,84,0
"Valdosta, GA","46660",2021,59,48,11,0,0,0,0,84,60,31,0,0,0,0,59,0
"Vallejo-Fairfield, CA","46700",2021,3,3,0,0,0,0,0,10,10,5,0,0,0,0,0,3
"Vernal, UT","46860",2021,90,70,20,0,0,0,0,84,62,44,0,0,69,0,21,0
"Vincennes, IN","47180",2021,59,59,0,0,0,0,0,50,42,30,0,0,59,0,0,0
"Vineyard Haven, MA","47240",2021,31,31,0,0,0,0,0,39,35,32,0,0,31,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2021,2,2,0,0,0,0,0,6,6,6,0,0,0,0,0,2
"Visalia-Porterville, CA","47300",2021,59,59,0,0,0,0,0,48,44,33,0,0,59,0,0,0
"Wabash, IN","47340",2021,59,58,1,0,0,0,0,61,44,31,0,0,59,0,0,0
"Waco, TX","47380",2021,32,31,1,0,0,0,0,74,42,33,1,0,16,0,15,0
"Walla Walla, WA","47460",2021,59,57,2,0,0,0,0,54,46,35,0,0,42,0,17,0
"Warner Robins, GA","47580",2021,59,46,13,0,0,0,0,81,63,35,0,0,0,0,59,0
"Washington Court House, OH","47920",2021,59,58,1,0,0,0,0,54,43,31,0,0,59,0,0,0
"Washington, NC","47820",2021,57,57,0,0,0,0,0,19,3,0,0,0,0,57,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2021,90,72,18,0,0,0,0,71,58,40,0,0,53,0,37,0
"Waterloo-Cedar Falls, IA","47940",2021,120,81,39,0,0,0,0,90,66,43,0,0,31,0,89,0
"Watertown-Fort Drum, NY","48060",2021,86,83,3,0,0,0,0,64,44,37,0,0,86,0,0,0
"Weirton-Steubenville, WV-OH","48260",2021,90,69,21,0,0,0,0,95,62,40,0,0,23,10,49,8
"Wenatchee, WA","48300",2021,31,22,9,0,0,0,0,70,58,41,0,0,0,0,31,0
"Wheeling, WV-OH","48540",2021,90,40,50,0,0,0,0,98,71,52,0,3,14,0,73,0
"Williamsport, PA","48700",2021,75,75,0,0,0,0,0,46,40,32,0,0,75,0,0,0
"Wilmington, NC","48900",2021,90,88,2,0,0,0,0,71,43,30,0,0,31,0,59,0
"Winston-Salem, NC","49180",2021,59,47,12,0,0,0,0,67,60,38,0,3,0,0,56,0
"Worcester, MA-CT","49340",2021,62,57,5,0,0,0,0,87,49,37,0,0,40,0,19,3
"Yakima, WA","49420",2021,31,10,21,0,0,0,0,87,72,62,0,0,0,0,31,0
"York-Hanover, PA","49620",2021,81,80,1,0,0,0,0,64,42,35,0,0,81,0,0,0
"Youngstown-Warren-Boardman, OH-PA","49660",2021,78,66,12,0,0,0,0,74,59,38,0,0,43,0,35,0
"Yuma, AZ","49740",2021,90,74,16,0,0,0,0,94,58,44,0,0,61,0,8,21
